product_code,product_name,product_url
PS2012,Brit Bottle - 500ML Double Wall,https://www.intexglobal.com/product/brit-vacuum-bottle-500ml/
OCT100KID,Kids Essential Tee,https://www.intexglobal.com/product/kids-essential-tee/
PS4106,Montana Calico Coloured Tote Bag,https://www.intexglobal.com/product/montana-calico-coloured-tote-bag/
PS4004,Detroit Tote Bag,https://www.intexglobal.com/product/detroit-tote-bag/
PS2501,White Sublimation Mug - 330Ml,https://www.intexglobal.com/product/white-sublimation-mug-330ml/
PS7001,A5 Notebook,https://www.intexglobal.com/product/a5-notebook/
PS1003,Kingsford,https://www.intexglobal.com/product/kingsford/
PS3306,Thunder Cheering Sticks,https://www.intexglobal.com/product/thunder-cheering-sticks/
PS5010,Tiger Usb Flash Drive,https://www.intexglobal.com/product/tiger-usb-flash-drive/
PS5100,Snazzy Crew Jacquard Socks,https://www.intexglobal.com/product/crew-jacquard-socks/
OCT100MS,Men Essential Tees,https://www.intexglobal.com/product/men-essential-tees/
PS4004L,Detroit Laminated Tote Bag,https://www.intexglobal.com/product/detroit-laminated-tote-bag/
BB5001,500ml Bell Bottle with Carry Handle,https://www.intexglobal.com/product/500ml-bell-bottle-with-carry-handle/
PS4701,Rpet Felt Tote Bag,https://www.intexglobal.com/product/rpet-felt-tote-bag/
PSBB03,Cromwell Tote Bag,https://www.intexglobal.com/product/cromwell-tote-bag/
PSBB04,Zefa Biodegradable Tote Bag,https://www.intexglobal.com/product/zefa-biodegradable-tote-bag/
PS4101,Indiana Short Handle Calico Bag,https://www.intexglobal.com/product/indiana-short-handle-calico-bag/
